id,name,org,plant,url,page,note
1,SỔ TAY HƯỚNG DẪN KỸ THUẬT CHO NÔNG DÂN VỀ CANH TÁC CÂY SẦU RIÊNG THEO TIÊU CHUẨN VIETGAP,Bộ Nông nghiệp và Phát triển nông thôn,sau-rieng,https://snnptnt.kontum.gov.vn/upload/104207/20240405/6__So_tay_ToF_cay_sau_rieng_VietGAP_33613.pdf,,
2,SỔ TAY HƯỚNG DẪN KỸ THUẬT CANH TÁC CÂY SẦU RIÊNG THEO VIETGAP,Bộ Nông nghiệp và Phát triển nông thôn,sau-rieng,https://dongthapxanh.vn/file_users/ntbngocsnn/tai%20lieu%20huong%20dan%20vietgap/so%20tay%20HD%20qua%20sau%20rieng%20view.pdf,,
3,SỔ TAY HƯỚNG DẪN KỸ THUẬT CANH TÁC CÂY SẦU RIÊNG THÍCH ỨNG VỚI BIẾN ĐỔI KHÍ HẬU,Bộ Nông nghiệp và Phát triển nông thôn,sau-rieng,https://knkn.baria-vungtau.gov.vn/documents/229829/852606/Cay%20Sau%20rieng.pdf,,
4,CÔNG NGHỆ TRONG CANH TÁC VÀ QUẢN LÝ SÂU BỆNH HẠI TỔNG HỢP TRÊN CÂY SẦU RIÊNG,Học viện Nông nghiệp Việt Nam,sau-rieng,https://htd.vnua.edu.vn/docs/maivantri.pdf,,
5,PHÁT TRIỂN BỀN VỮNG SẢN XUẤT CÂY SẦU RIÊNG CHANH LEO,Trung tâm Khuyến nông Quốc gia,sau-rieng,https://khuyennongvn.gov.vn/data/documents/0/2022/12/20/hangweb/knvn-so9.pdf,,
6,PHÁT TRIỂN BỀN VỮNG SẢN XUẤT CÂY SẦU RIÊNG CHANH LEO,Trung tâm Khuyến nông Quốc gia,chanh-leo,https://khuyennongvn.gov.vn/data/documents/0/2022/12/20/hangweb/knvn-so9.pdf,,
7,Hướng dẫn về các loại phân bón cho cây sầu riêng,Supe Lâm Thao,sau-rieng,https://supelamthao.vn/userfiles/files/PDF/Huong%20dan%20ve%20cac%20loai%20phan%20bon%20cho%20cay%20sau%20rieng.pdf,,
8,QUY TRÌNH TẠM THỜI KỸ THUẬT CANH TÁC SẦU RIÊNG ỨNG DỤNG NÔNG NGHIỆP CÔNG NGHỆ CAO TRÊN ĐỊA BÀN TỈNH LÂM ĐỒNG,Trung tâm Khuyến nông tỉnh Lâm Đồng,sau-rieng,https://khuyennong.lamdong.gov.vn/attachments/article/2864/4.%20Quy%20tr%C3%ACnh%20s%E1%BA%A7u%20ri%C3%AAng%20UDCNC.pdf,,
9,"TÀI LIỆU HƯỚNG DẪN KỸ THUẬT CANH TÁC, PHÒNG TRỪ SINH VẬT GÂY HẠI TRÊN CÂY SẦU RIÊNG",Cục bảo vệ Thực vật,sau-rieng,https://croplifevietnam.org/wp-content/uploads/2023/09/CLV_HD-KY-THUAT-CANH-TAC_PHONG-TRU-DICH-HAI_SAU-RIENG_final.pdf,,
10,ĐẶC TÍNH SỰ RA HOA VÀ PHÁT TRIỂN TRÁI SẦU RIÊNG RI-6 (Durio zibethinus Murr) TẠI HUYỆN CAI LẬY TỈNH TIỀN GIANG,Đại học Cần Thơ,sau-rieng,https://ctujsvn.ctu.edu.vn/index.php/ctujsvn/article/download/3340/479,,x
